NAIS;LUZERN
1;1
2;2
6;6
7S;7aS
7b;7b
7S;7g
7a;7a
7a(6);7d
7a(10a);7e
7a(9a);7f
7a(9a);7fM*
7*;7*
8S;8aS
8b;8b
8S;8g
8a;8a
8a(12e);8e
8a(12e);8fM*
8a(12a);8f
8d;8d
8a(8*);8c
8*;8*
9a;9a
9a(11);9aS
9w;9w
10a;10
10w;10w
11;11
12S;12aS
12S;12g
12a;12a
12a(8d);12c
12e;12e
12w;12w
13a;13a
13a;13g
13e;13e
13eh;13eh
13h;13h
14;14
14;14w
15;15
15;15w
16;16
17;17
18w;18w
17;17a
17;17S
17;17T
18;18a
18;18aF
18(20);18aS
19f;18b
18(19);18c
18M;18f
18M(20);18g
18w;18w
18v;18wN
18*;18e
18w;18A
19;19
1h;19K
20;20
21;21
22;22a
22;22b
22A;22g
23;23
24*;24*
25;25
26;26a
26;26*t
26h;26*h
26h;26h
26w;26w
26h(49);26c
27;27
27h;27h
28;28
29;29
29L;29L
29h;29h
29A;29a
29A;29g
29C;29e
30;30
30(?);30v
32a;32a
32C;32C
32V;32V
32P;32P
44;44
44(?);44v
45;45
45(?);45v
46;46
46t;46t
46D;46D
46A;46A
46M;46M
46L;46L
46S;46S
46*;46*
48;48
48;48F
49;49
50;50a
50(51);50d
50*;50f
53Ta;53Ta
53;53
56(46*);56
56(?);56v
57C(57S);57C
57S;57
57S;57B
57V;57*
60;60
60*Ta;60*Ta
60*;60*
60*Lä;60*Lä
61;61
62;62
65;65e
65;65w
67;67
69;69
70;70
71;71a
71()?;71av
71(56);71*
71()?;71*v
AV;AE
